report_id,date,site,location,report_type,description,activity,predicted_activity,predicted_equipment,predicted_hazards,predicted_barrier_failures,predicted_precursor_tags,predicted_potential_consequences,sif_prediction,sif_probability,predicted_lsr,primary_lsr_predicted,sif_label,primary_lsr,lsr_tags,hazard,barrier_failure,potential_consequence,precursor_tags,severity
REP-EF8B656F,2020-07-19,Platform Charlie,Main Workshop,Near Miss,"Scaffolding tubes for Crane C-1 were stored untidily, causing a minor trip hazard during Structural Inspection.",Structural Inspection,"[""Mechanical Lifting"", ""Working at Height"", ""Maintenance""]","[""Crane C-1"", ""For Crane""]",[],[],[],[],0,0.0837,"[""Work at Height"", ""Safe Mechanical Lifting""]",Work at Height,0,Work at Height,Work at Height,,,Minor injury,,Low
REP-325EB61B,2021-01-10,Refinery Delta,Storage Tank A,Unsafe Act,Operator engaged in Alarm Testing admitted to bypassing safety logic on Fire & Gas Panel. Alarm disabled is a severe breach leading to Overpressure.,Alarm Testing,"[""Operations""]","[""Gas Panel""]","[""Pressurized Equipment""]","[""SAFETY_DEVICE_BYPASS""]","[""pressurized-system"", ""bypassed-interlock""]","[""Major Process Safety Event""]",1,0.9592,"[""Bypassing Safety Controls""]",Bypassing Safety Controls,1,Bypassing Safety Controls,Bypassing Safety Controls,Overpressure,Alarm disabled,Catastrophic release,bypassed interlock|unauthorized override,High
REP-D01684F7,2020-06-30,Facility Bravo,Main Workshop,Unsafe Condition,"During a walkaround, found personnel doing Non-routine Task on Utility Area. Wrong permit type meant they had no controls for Uncontrolled work.",Non-routine Task,"[""Operations""]","[""Utility Area""]","[""Unidentified Hazards""]","[""WORK_AUTHORIZATION_FAILURE""]","[""expired-permit""]",[],1,0.8448,"[""Work Authorization"", ""Line of Fire""]",Work Authorization,1,Work Authorization,Work Authorization,Uncontrolled work,Wrong permit type,Process incident,inadequate planning|poor communication,Medium
REP-DD8ACE7A,2020-04-21,Site Alpha,Pump Room,Near Miss,Fire extinguisher near Oxy-Acetylene Torch for Grinding was due for monthly inspection next week.,Grinding,"[""Hot Work"", ""Maintenance""]","[""Torch""]",[],[],[],[],0,0.1157,"[""Hot Work""]",Hot Work,0,Hot Work,Hot Work,,,Minor injury,,Low
REP-6BC68190,2023-10-13,Terminal Echo,Pump Room,Unsafe Condition,Worker's chin strap on helmet was loose during Structural Inspection on Cherry Picker.,Structural Inspection,"[""Maintenance""]","[""Cherry Picker""]",[],[],[],[],0,0.1064,"[""Work at Height""]",Work at Height,0,Work at Height,Work at Height,,,Minor injury,,Low
REP-3E795307,2020-08-22,Site Alpha,Pump Room,Unsafe Condition,Radio in Vacuum Truck was left on high volume after Heavy Haulage.,Heavy Haulage,"[""Vehicle Movement""]","[""Truck Was"", ""Vacuum Truck""]",[],[],[],[],0,0.0723,"[""Driving""]",Driving,0,Driving,Driving,,,Minor injury,,Low
REP-FF073861,2020-09-06,Platform Charlie,Storage Tank A,Incident,"Scaffolding tubes for Scaffold Tower B were stored untidily, causing a minor trip hazard during Rigging.",Rigging,"[""Mechanical Lifting"", ""Working at Height""]","[""Scaffold"", ""Rigging""]",[],[],[],[],0,0.1839,"[""Work at Height""]",Work at Height,0,Work at Height,Work at Height,,,Minor injury,,Low
REP-DED05948,2023-09-08,Facility Bravo,Boiler Area,Unsafe Condition,The entry log for Underground Sump during Vessel Welding was smudged with dirt.,Vessel Welding,"[""Hot Work""]","[""Vessel Welding"", ""During Vessel"", ""Sump""]",[],[],[],[],0,0.0204,"[""Confined Space""]",Confined Space,0,Confined Space,Confined Space,,,Minor injury,,Low
REP-41997B84,2022-05-20,Facility Bravo,Pump Room,Near Miss,The horn on Mobile Crane sounded a bit quiet during Hoisting.,Hoisting,"[""Mechanical Lifting""]","[""Crane Sounded"", ""Mobile Crane""]",[],[],[],[],0,0.0627,"[""Safe Mechanical Lifting""]",Safe Mechanical Lifting,0,Safe Mechanical Lifting,Safe Mechanical Lifting,,,Minor injury,,Low
REP-5F1A4599,2022-07-27,Platform Charlie,Pump Room,Unsafe Condition,Operator logged Process Operation for Fire & Gas Panel in the wrong logbook.,Process Operation,"[""Operations""]","[""Panel In"", ""Gas Panel""]",[],[],[],[],0,0.0832,"[""Bypassing Safety Controls""]",Bypassing Safety Controls,0,Bypassing Safety Controls,Bypassing Safety Controls,,,Minor injury,,Low
REP-2804576F,2021-11-25,Refinery Delta,Boiler Area,Near Miss,Radio in Crew Bus was left on high volume after Material Delivery.,Material Delivery,"[""Vehicle Movement""]","[""Crew Bus""]",[],[],[],[],0,0.0465,"[""Driving""]",Driving,0,Driving,Driving,,,Minor injury,,Low
REP-2C48D87D,2023-09-11,Terminal Echo,Main Workshop,Unsafe Condition,Operator of Mobile Crane during Rigging forgot his safety glasses but was in an enclosed cab.,Rigging,"[""Mechanical Lifting""]","[""Crane During"", ""Mobile Crane"", ""Rigging""]",[],[],[],[],0,0.2177,"[""Safe Mechanical Lifting""]",Safe Mechanical Lifting,0,Safe Mechanical Lifting,Safe Mechanical Lifting,,,Minor injury,,Low
REP-769B4C6B,2023-10-23,Refinery Delta,Drilling Floor,Unsafe Condition,Welder doing Soldering with Welding Machine W-1 had untucked coveralls.,Soldering,"[""Hot Work""]","[""Welding Machine""]",[],[],[],[],0,0.0229,"[""Hot Work""]",Hot Work,0,Hot Work,Hot Work,,,Minor injury,,Low
REP-540AF53B,2022-02-05,Terminal Echo,Pump Room,Unsafe Condition,Tools used for Tank Cleaning in Separator V-10 were left outside the entrance untidily.,Tank Cleaning,"[""Cleaning"", ""Confined Space Entry""]","[""Tank Cleaning"", ""Separator V-10"", ""For Tank"", ""In Separator""]",[],[],[],[],0,0.0343,"[""Confined Space""]",Confined Space,0,Confined Space,Confined Space|Hot Work,,,Minor injury,,Low
REP-A6787D40,2020-11-27,Refinery Delta,Pipe Rack 2,Unsafe Condition,JSA for Contractor Work near Workshop was printed on crumpled paper.,Contractor Work,"[""Contractor Work""]","[""Workshop""]",[],[],[],[],0,0.0174,"[""Work Authorization""]",Work Authorization,0,Work Authorization,Work Authorization,,,Minor injury,,Low
REP-9D89EE16,2021-02-28,Terminal Echo,Control Room,Near Miss,"Operator was performing Maintenance on Compressor C-10. It was discovered that Isolation valve leaking, leaving the system vulnerable to Pressurized hydrocarbon release. Work was stopped immediately.",Maintenance,"[""Maintenance""]","[""Compressor C-10"", ""Valve Leaking"", ""System Vulnerable"", ""On Compressor"", ""Isolation Valve"", ""The System""]","[""Hydrocarbon Release"", ""Loss of Containment"", ""Pressurized Equipment""]","[""ENERGY_ISOLATION_FAILURE""]","[""pressurized-system"", ""missing-loto""]","[""Major Process Safety Event""]",1,0.9064,"[""Energy Isolation"", ""Bypassing Safety Controls""]",Energy Isolation,1,Energy Isolation,Energy Isolation,Pressurized hydrocarbon release,Isolation valve leaking,"Fire, serious injury or fatal exposure",live electrical|stored energy,High
REP-A98D4A2F,2022-11-25,Platform Charlie,Deck 3,Unsafe Act,The Pickup Truck P-12 was slightly dirty during Material Delivery.,Material Delivery,"[""Vehicle Movement""]","[""Truck P-12"", ""Pickup Truck""]",[],[],[],[],0,0.0106,"[""Driving""]",Driving,0,Driving,Driving,,,Minor injury,,Low
REP-D0D54819,2020-06-02,Terminal Echo,Loading Bay,Near Miss,"Noticed Pump P-204 had a minor weep during Repair. LOTO was applied correctly, but cleanup was delayed.",Repair,"[""Maintenance""]","[""Pump P-204"", ""Noticed Pump""]",[],[],[],[],0,0.0601,"[""Energy Isolation""]",Energy Isolation,0,Energy Isolation,Energy Isolation,,,Minor injury,,Low
REP-A0951A07,2020-05-01,Facility Bravo,Loading Bay,Near Miss,"While preparing for Maintenance on Heat Exchanger HX-2, found that the lock for LOTO was slightly rusted, making it hard to use.",Maintenance,"[""Maintenance""]","[""Heat Exchanger Hx-2"", ""On Heat Exchanger""]",[],[],[],[],0,0.0496,"[""Energy Isolation""]",Energy Isolation,0,Energy Isolation,Energy Isolation|Work Authorization,,,Minor injury,,Low
REP-5B77024A,2020-06-14,Terminal Echo,Control Room,Unsafe Condition,"The tag for Valve V-99 was faded during Inspection. No Pressurized hydrocarbon release was present, but tag needs replacement.",Inspection,"[""Maintenance""]","[""Valve V-99"", ""For Valve""]","[""Loss of Containment""]",[],[],"[""Major Process Safety Event""]",0,0.1154,"[""Energy Isolation""]",Energy Isolation,0,Energy Isolation,Energy Isolation,,,Minor injury,,Low
REP-76610B25,2021-04-11,Site Alpha,Pump Room,Unsafe Act,"While preparing for Maintenance on Pump P-204, found that the lock for LOTO was slightly rusted, making it hard to use.",Maintenance,"[""Maintenance""]","[""Pump P-204"", ""On Pump""]",[],[],[],[],0,0.0447,"[""Energy Isolation""]",Energy Isolation,0,Energy Isolation,Energy Isolation,,,Minor injury,,Low
REP-AFC3C880,2022-05-24,Terminal Echo,Boiler Area,Unsafe Act,The entry log for Reactor R-5 during Vessel Welding was smudged with dirt.,Vessel Welding,"[""Hot Work""]","[""Reactor R-5"", ""Vessel Welding"", ""For Reactor"", ""During Vessel""]",[],[],[],[],0,0.0168,"[""Confined Space""]",Confined Space,0,Confined Space,Confined Space,,,Minor injury,,Low
REP-8B45369D,2023-01-03,Terminal Echo,Pump Room,Unsafe Act,Welder doing Torch Cutting with Angle Grinder had untucked coveralls.,Torch Cutting,"[""Hot Work""]","[""Angle Grinder"", ""Torch""]",[],[],[],[],0,0.04,"[""Hot Work""]",Hot Work,0,Hot Work,Hot Work,,,Minor injury,,Low
REP-43E306F5,2021-05-15,Platform Charlie,Boiler Area,Incident,"Worker doing Tank Cleaning in Storage Tank A complained about poor lighting, though gas levels were normal.",Tank Cleaning,"[""Cleaning"", ""Confined Space Entry""]","[""Tank Cleaning"", ""Tank A"", ""Doing Tank"", ""Storage Tank""]",[],[],[],[],0,0.0719,"[""Confined Space""]",Confined Space,0,Confined Space,Confined Space,,,Minor injury,,Low
REP-615E45C0,2022-01-21,Terminal Echo,Main Workshop,Unsafe Condition,"Scaffolding tubes for Scaffold Tower B were stored untidily, causing a minor trip hazard during Scaffolding.",Scaffolding,"[""Working at Height""]","[""Scaffold""]",[],[],[],[],0,0.1659,"[""Work at Height""]",Work at Height,0,Work at Height,Work at Height,,,Minor injury,,Low
REP-4F700439,2020-10-07,Terminal Echo,Loading Bay,Near Miss,The horn on Mobile Crane sounded a bit quiet during Hoisting.,Hoisting,"[""Mechanical Lifting""]","[""Crane Sounded"", ""Mobile Crane""]",[],[],[],[],0,0.0627,"[""Safe Mechanical Lifting""]",Safe Mechanical Lifting,0,Safe Mechanical Lifting,Safe Mechanical Lifting,,,Minor injury,,Low
REP-B3A9BFCB,2020-03-10,Platform Charlie,Main Workshop,Incident,The entry log for Underground Sump during Tank Cleaning was smudged with dirt.,Tank Cleaning,"[""Cleaning"", ""Confined Space Entry""]","[""Tank Cleaning"", ""During Tank"", ""Sump""]",[],[],[],[],0,0.016,"[""Confined Space""]",Confined Space,0,Confined Space,Confined Space,,,Minor injury,,Low
REP-8988A0BD,2022-02-15,Facility Bravo,Storage Tank A,Unsafe Act,Worker's chin strap on helmet was loose during Scaffolding on Pipe Rack Level 3.,Scaffolding,"[""Working at Height""]","[""Pipe Rack""]",[],[],[],[],0,0.1217,"[""Work at Height""]",Work at Height,0,Work at Height,Work at Height,,,Minor injury,,Low
REP-370D6BAB,2023-06-26,Refinery Delta,Storage Tank A,Unsafe Act,"Noticed Pump P-204 had a minor weep during Repair. LOTO was applied correctly, but cleanup was delayed.",Repair,"[""Maintenance""]","[""Pump P-204"", ""Noticed Pump""]",[],[],[],[],0,0.0601,"[""Energy Isolation""]",Energy Isolation,0,Energy Isolation,Energy Isolation,,,Minor injury,,Low
REP-0D2C148B,2021-05-02,Facility Bravo,Pump Room,Near Miss,Driver doing Heavy Haulage in Crew Bus parked slightly outside the designated lines.,Heavy Haulage,"[""Vehicle Movement""]","[""Crew Bus""]",[],[],[],[],0,0.1096,"[""Driving""]",Driving,0,Driving,Driving,,,Minor injury,,Low
REP-8528908F,2023-08-30,Terminal Echo,Pump Room,Unsafe Act,Paint on Forklift F-3 used for Crane Lifting is peeling off.,Crane Lifting,"[""Mechanical Lifting"", ""Painting""]","[""Crane Lifting"", ""For Crane"", ""Forklift""]",[],[],[],[],0,0.0145,"[""Safe Mechanical Lifting""]",Safe Mechanical Lifting,0,Safe Mechanical Lifting,Safe Mechanical Lifting,,,Minor injury,,Low
REP-650F5828,2023-02-13,Facility Bravo,Storage Tank A,Unsafe Act,The welding lead for Angle Grinder was slightly tangled during Torch Cutting.,Torch Cutting,"[""Hot Work""]","[""Angle Grinder"", ""Torch""]",[],[],[],[],0,0.1879,"[""Hot Work"", ""Line of Fire""]",Hot Work,0,Hot Work,Hot Work,,,Minor injury,,Low
REP-7AE37781,2023-07-14,Facility Bravo,Boiler Area,Unsafe Act,"Scaffolding tubes for Cherry Picker were stored untidily, causing a minor trip hazard during Structural Inspection.",Structural Inspection,"[""Working at Height"", ""Maintenance""]","[""Cherry Picker""]",[],[],[],[],0,0.1087,"[""Work at Height""]",Work at Height,0,Work at Height,Work at Height,,,Minor injury,,Low
REP-E5E2D94A,2020-04-01,Terminal Echo,Loading Bay,Near Miss,"Operator was performing Inspection on Heat Exchanger HX-2. It was discovered that Energy not verified zero, leaving the system vulnerable to Steam leak. Work was stopped immediately.",Inspection,"[""Maintenance""]","[""Heat Exchanger Hx-2"", ""System Vulnerable"", ""On Heat Exchanger"", ""The System""]","[""Loss of Containment""]","[""ENERGY_ISOLATION_FAILURE""]","[""missing-loto""]","[""Major Process Safety Event""]",1,0.8992,"[""Energy Isolation"", ""Bypassing Safety Controls""]",Energy Isolation,1,Energy Isolation,Energy Isolation|Safe Mechanical Lifting,Steam leak,Energy not verified zero,Severe chemical burns,stored energy|pressurized equipment,High
REP-EEAF3F78,2020-10-20,Site Alpha,Drilling Floor,Near Miss,"Pickup Truck P-12 was involved in a near miss during Heavy Haulage. Investigation showed Seatbelt not worn, drastically increasing the risk of Vehicle collision.",Heavy Haulage,"[""Vehicle Movement""]","[""Truck P-12"", ""Pickup Truck""]","[""Vehicle Interaction""]","[""TRAFFIC_CONTROL_FAILURE""]","[""vehicle-interaction""]","[""Vehicle / Pedestrian Injury""]",1,0.9569,"[""Driving""]",Driving,1,Driving,Driving,Vehicle collision,Seatbelt not worn,Fatal traffic accident,poor road conditions|heavy vehicle interaction,High
REP-C0773F61,2020-02-22,Site Alpha,Loading Bay,Near Miss,Indicator bulb on Fire & Gas Panel was burnt out during Alarm Testing.,Alarm Testing,"[""Operations""]","[""Panel Was"", ""Gas Panel""]",[],[],[],[],0,0.2182,"[""Bypassing Safety Controls""]",Bypassing Safety Controls,0,Bypassing Safety Controls,Bypassing Safety Controls|Hot Work,,,Minor injury,,Low
REP-34FE0B04,2020-06-07,Facility Bravo,Pipe Rack 2,Incident,Radio in Vacuum Truck was left on high volume after Site Patrol.,Site Patrol,"[""Vehicle Movement""]","[""Truck Was"", ""Vacuum Truck""]",[],[],[],[],0,0.0702,"[""Driving""]",Driving,0,Driving,Driving,,,Minor injury,,Low
REP-92363125,2021-05-14,Platform Charlie,Loading Bay,Near Miss,"During Rigging, worker used the correct harness but the inspection log was not filled in for Scaffold Tower B.",Rigging,"[""Mechanical Lifting"", ""Working at Height"", ""Maintenance""]","[""Scaffold"", ""Rigging""]",[],[],[],[],0,0.191,"[""Work at Height""]",Work at Height,0,Work at Height,Work at Height,,,Minor injury,,Low
REP-49DAF9A8,2021-04-15,Terminal Echo,Boiler Area,Unsafe Condition,"During Welding with Angle Grinder, Sparks falling to lower deck allowed slag to ignite a small fire. Toxic fumes potential was extremely high.",Welding,"[""Chemical Handling"", ""Hot Work""]","[""Angle Grinder""]","[""Fire/Explosion"", ""Toxic Gas""]",[],[],"[""Fire Injury"", ""Explosion Injury"", ""Toxic Exposure"", ""Major Process Safety Event""]",1,0.908,"[""Hot Work""]",Hot Work,1,Hot Work,Hot Work|Work at Height,Toxic fumes,Sparks falling to lower deck,Facility explosion,sparks|hydrocarbon presence,High
REP-FD4AA4C6,2020-10-30,Terminal Echo,Control Room,Unsafe Condition,Operator logged Alarm Testing for Pressure Safety Valve PSV-90 in the wrong logbook.,Alarm Testing,"[""Operations""]","[""Valve Psv-90"", ""Safety Valve""]",[],[],[],[],0,0.2392,"[""Bypassing Safety Controls""]",Bypassing Safety Controls,0,Bypassing Safety Controls,Bypassing Safety Controls,,,Minor injury,,Low
REP-9C988226,2020-03-10,Refinery Delta,Pump Room,Unsafe Condition,Permit for General Maintenance at Workshop had a minor spelling mistake in the supervisor's name.,General Maintenance,"[""Maintenance""]","[""Workshop""]",[],[],[],[],0,0.0928,"[""Work Authorization""]",Work Authorization,0,Work Authorization,Work Authorization,,,Minor injury,,Low
REP-919D2075,2021-11-20,Platform Charlie,Deck 3,Unsafe Act,Barricade tape for Trenching near Drill Pipe was blown down by the wind. No operations were ongoing.,Trenching,"[""Excavation"", ""Drilling""]","[""Drill Pipe""]",[],[],[],[],0,0.1262,"[""Line of Fire""]",Line of Fire,0,Line of Fire,Line of Fire,,,Minor injury,,Low
REP-149635A0,2020-01-16,Terminal Echo,Drilling Floor,Incident,"Soldering was started on Pipe Spool P-10 near a live process area. Sparks falling to lower deck was observed, posing a massive risk of Toxic fumes.",Soldering,"[""Chemical Handling"", ""Hot Work""]","[""Spool P-10"", ""Pipe Spool""]","[""Toxic Gas""]",[],[],"[""Toxic Exposure""]",1,0.7813,"[""Hot Work"", ""Work at Height""]",Hot Work,1,Hot Work,Hot Work,Toxic fumes,Sparks falling to lower deck,Facility explosion,flammable atmosphere|sparks,Medium
REP-51098E42,2023-04-02,Terminal Echo,Storage Tank A,Near Miss,Worker doing General Maintenance at Utility Area did not sign the permit exactly on the line.,General Maintenance,"[""Maintenance""]","[""Utility Area""]",[],[],[],[],0,0.065,"[""Work Authorization""]",Work Authorization,0,Work Authorization,Work Authorization,,,Minor injury,,Low
REP-1BEA9B52,2020-08-30,Platform Charlie,Main Workshop,Incident,The welding lead for Angle Grinder was slightly tangled during Grinding.,Grinding,"[""Hot Work""]","[""Angle Grinder""]",[],[],[],[],0,0.1521,"[""Hot Work""]",Hot Work,0,Hot Work,Hot Work,,,Minor injury,,Low
REP-1F79B55D,2020-03-22,Terminal Echo,Pipe Rack 2,Unsafe Condition,"Worker performing Torquing on Excavator had their hands slightly close to a rough edge, causing a minor scratch.",Torquing,"[""Torquing""]","[""Excavator""]",[],[],[],[],0,0.0916,"[""Line of Fire""]",Line of Fire,0,Line of Fire,Line of Fire,,,Minor injury,,Low
REP-64B119D6,2023-12-17,Site Alpha,Control Room,Incident,"Operator was performing Repair on Compressor C-10. It was discovered that Energy not verified zero, leaving the system vulnerable to Stored energy discharge. Work was stopped immediately.",Repair,"[""Maintenance""]","[""Compressor C-10"", ""System Vulnerable"", ""On Compressor"", ""The System""]","[""Stored Energy"", ""Loss of Containment""]","[""ENERGY_ISOLATION_FAILURE""]","[""missing-loto"", ""stored-energy""]","[""Major Process Safety Event""]",1,0.8493,"[""Energy Isolation"", ""Bypassing Safety Controls""]",Energy Isolation,1,Energy Isolation,Energy Isolation,Stored energy discharge,Energy not verified zero,Asphyxiation,toxic fluid|inadequate isolation,Medium
REP-44345C39,2021-11-17,Platform Charlie,Control Room,Unsafe Act,"Scaffolding tubes for Pipe Rack Level 3 were stored untidily, causing a minor trip hazard during Painting.",Painting,"[""Painting"", ""Working at Height""]","[""Pipe Rack""]",[],[],[],[],0,0.089,"[""Work at Height"", ""Safe Mechanical Lifting""]",Work at Height,0,Work at Height,Work at Height,,,Minor injury,,Low
REP-972964FA,2020-10-07,Terminal Echo,Storage Tank A,Unsafe Condition,Fire extinguisher near Pipe Spool P-10 for Welding was due for monthly inspection next week.,Welding,"[""Hot Work"", ""Maintenance""]","[""Spool P-10"", ""Pipe Spool""]",[],[],[],[],0,0.0928,"[""Hot Work""]",Hot Work,0,Hot Work,Hot Work,,,Minor injury,,Low
REP-96F75E7D,2022-11-23,Station Foxtrot,Loading Bay,Unsafe Act,Operator of Forklift F-3 during Rigging forgot his safety glasses but was in an enclosed cab.,Rigging,"[""Mechanical Lifting""]","[""Forklift"", ""Rigging""]",[],[],[],[],0,0.1457,"[""Safe Mechanical Lifting""]",Safe Mechanical Lifting,0,Safe Mechanical Lifting,Safe Mechanical Lifting,,,Minor injury,,Low
REP-4A0FB64D,2021-04-25,Station Foxtrot,Drilling Floor,Incident,JSA for Non-routine Task near Workshop was printed on crumpled paper.,Non-routine Task,"[""Operations""]","[""Workshop""]",[],[],[],[],0,0.03,"[""Work Authorization""]",Work Authorization,0,Work Authorization,Work Authorization,,,Minor injury,,Low
REP-2A324ECB,2020-07-16,Facility Bravo,Deck 3,Near Miss,Barricade tape for Torquing near Hydraulic Torque Wrench was blown down by the wind. No operations were ongoing.,Torquing,"[""Torquing""]","[""Torque Wrench""]",[],[],[],[],0,0.218,"[""Line of Fire""]",Line of Fire,0,Line of Fire,Line of Fire,,,Minor injury,,Low
REP-401399F3,2022-03-26,Station Foxtrot,Boiler Area,Incident,Permit for Contractor Work at Workshop had a minor spelling mistake in the supervisor's name.,Contractor Work,"[""Contractor Work""]","[""Workshop""]",[],[],[],[],0,0.0604,"[""Work Authorization""]",Work Authorization,0,Work Authorization,Work Authorization,,,Minor injury,,Low
REP-5B0C6061,2021-10-23,Platform Charlie,Drilling Floor,Incident,Permit for Non-routine Task at Camp Facility had a minor spelling mistake in the supervisor's name.,Non-routine Task,"[""Operations""]","[""Camp Facility""]",[],[],[],[],0,0.1727,"[""Work Authorization""]",Work Authorization,0,Work Authorization,Work Authorization,,,Minor injury,,Low
REP-730F19C7,2021-09-23,Refinery Delta,Storage Tank A,Unsafe Condition,Worker doing Contractor Work at Camp Facility did not sign the permit exactly on the line.,Contractor Work,"[""Contractor Work""]","[""Camp Facility""]",[],[],[],[],0,0.1013,"[""Work Authorization"", ""Line of Fire""]",Work Authorization,0,Work Authorization,Work Authorization,,,Minor injury,,Low
REP-B11E2D1C,2022-02-15,Site Alpha,Drilling Floor,Near Miss,Barricade tape for Trenching near Hydraulic Torque Wrench was blown down by the wind. No operations were ongoing.,Trenching,"[""Excavation"", ""Torquing""]","[""Torque Wrench""]",[],[],[],[],0,0.1883,"[""Line of Fire""]",Line of Fire,0,Line of Fire,Line of Fire,,,Minor injury,,Low
REP-A9529455,2021-04-14,Platform Charlie,Boiler Area,Near Miss,Driver doing Transporting Personnel in Pickup Truck P-12 parked slightly outside the designated lines.,Transporting Personnel,"[""Vehicle Movement""]","[""Truck P-12"", ""Pickup Truck""]",[],[],[],[],0,0.1337,"[""Driving""]",Driving,0,Driving,Driving,,,Minor injury,,Low
REP-920FF212,2020-03-27,Facility Bravo,Main Workshop,Near Miss,"Worker doing Vessel Welding in Separator V-10 complained about poor lighting, though gas levels were normal.",Vessel Welding,"[""Hot Work""]","[""Vessel Welding"", ""Separator V-10"", ""Doing Vessel"", ""In Separator""]",[],[],[],[],0,0.1267,"[""Confined Space""]",Confined Space,0,Confined Space,Confined Space,,,Minor injury,,Low
REP-9213DCBB,2020-01-31,Station Foxtrot,Pipe Rack 2,Unsafe Condition,"Prior to Tank Cleaning in Underground Sump, it was discovered that Rescue plan inadequate. This could have led to Toxic atmosphere and potential fatality.",Tank Cleaning,"[""Cleaning"", ""Confined Space Entry"", ""Chemical Handling""]","[""Tank Cleaning"", ""To Tank"", ""Sump""]",[],[],[],"[""Fatal Exposure""]",1,0.9619,"[""Confined Space"", ""Bypassing Safety Controls""]",Confined Space,1,Confined Space,Confined Space,Toxic atmosphere,Rescue plan inadequate,Loss of consciousness,poor ventilation|restricted access,High
REP-255F7C95,2023-03-26,Refinery Delta,Storage Tank A,Near Miss,Operator engaged in Process Operation admitted to bypassing safety logic on Fire & Gas Panel. Override left active is a severe breach leading to Loss of containment.,Process Operation,"[""Operations""]","[""Gas Panel""]","[""Loss of Containment""]","[""SAFETY_DEVICE_BYPASS""]","[""bypassed-interlock""]","[""Major Process Safety Event""]",1,0.8909,"[""Bypassing Safety Controls"", ""Hot Work""]",Bypassing Safety Controls,1,Bypassing Safety Controls,Bypassing Safety Controls,Loss of containment,Override left active,Multiple fatalities,ignored alarm|bypassed interlock,High
REP-DFDCE731,2022-03-17,Platform Charlie,Pipe Rack 2,Unsafe Act,The entry log for Underground Sump during Internal Inspection was smudged with dirt.,Internal Inspection,"[""Maintenance""]","[""Sump""]",[],[],[],[],0,0.0297,"[""Confined Space""]",Confined Space,0,Confined Space,Confined Space,,,Minor injury,,Low
REP-1EBC1298,2020-06-20,Site Alpha,Pipe Rack 2,Unsafe Condition,"Noticed Compressor C-10 had a minor weep during Pipefitting. LOTO was applied correctly, but cleanup was delayed.",Pipefitting,"[""Pipefitting""]","[""Compressor C-10"", ""Noticed Compressor""]",[],[],[],[],0,0.0361,"[""Energy Isolation""]",Energy Isolation,0,Energy Isolation,Energy Isolation,,,Minor injury,,Low
REP-DFB4098B,2022-10-07,Platform Charlie,Storage Tank A,Near Miss,Critical Non-routine Task on Workshop proceeded despite JSA not discussed. This breakdown in authorization risked Unidentified hazards.,Non-routine Task,"[""Operations""]","[""Workshop""]","[""Unidentified Hazards""]","[""WORK_AUTHORIZATION_FAILURE""]","[""expired-permit""]",[],1,0.963,"[""Work Authorization"", ""Bypassing Safety Controls""]",Work Authorization,1,Work Authorization,Work Authorization,Unidentified hazards,JSA not discussed,Process incident,inadequate planning|simops,Medium
REP-905BF6A4,2023-08-28,Facility Bravo,Drilling Floor,Incident,Barricade tape for Lifting near Excavator was blown down by the wind. No operations were ongoing.,Lifting,"[""Mechanical Lifting""]","[""Excavator""]",[],[],[],[],0,0.231,"[""Line of Fire""]",Line of Fire,0,Line of Fire,Line of Fire,,,Minor injury,,Low
REP-5E0551CB,2020-12-06,Facility Bravo,Control Room,Unsafe Act,Radio in Pickup Truck P-12 was left on high volume after Transporting Personnel.,Transporting Personnel,"[""Vehicle Movement""]","[""Truck P-12"", ""Pickup Truck""]",[],[],[],[],0,0.0729,"[""Driving""]",Driving,0,Driving,Driving,,,Minor injury,,Low
REP-7B617280,2023-10-17,Platform Charlie,Pipe Rack 2,Near Miss,"While investigating Pressure Safety Valve PSV-90, it was found that Alarm disabled during System Maintenance. This exposed the facility to Equipment destruction.",System Maintenance,"[""Maintenance""]","[""Valve Psv-90"", ""System Maintenance"", ""Safety Valve"", ""During System""]",[],"[""SAFETY_DEVICE_BYPASS""]","[""bypassed-interlock""]","[""Major Equipment Damage""]",1,0.9249,"[""Bypassing Safety Controls""]",Bypassing Safety Controls,1,Bypassing Safety Controls,Bypassing Safety Controls,Equipment destruction,Alarm disabled,Multiple fatalities,unauthorized override|bypassed interlock,High
REP-F1A8D6E8,2022-08-05,Facility Bravo,Drilling Floor,Unsafe Condition,Fire extinguisher near Angle Grinder for Grinding was due for monthly inspection next week.,Grinding,"[""Hot Work"", ""Maintenance""]","[""Angle Grinder""]",[],[],[],[],0,0.1214,"[""Hot Work""]",Hot Work,0,Hot Work,Hot Work,,,Minor injury,,Low
REP-5F215243,2022-07-28,Platform Charlie,Deck 3,Unsafe Act,Critical General Maintenance on Utility Area proceeded despite JSA not discussed. This breakdown in authorization risked Simultaneous operations clash.,General Maintenance,"[""Maintenance""]","[""Utility Area""]","[""Unidentified Hazards""]","[""WORK_AUTHORIZATION_FAILURE""]","[""expired-permit""]",[],1,0.8464,"[""Work Authorization"", ""Bypassing Safety Controls"", ""Energy Isolation""]",Work Authorization,1,Work Authorization,Work Authorization,Simultaneous operations clash,JSA not discussed,Serious injury due to lack of hazard awareness,unauthorized work|poor communication,Medium
