report_id,date,site,location,report_type,description,sif_prediction,sif_probability,primary_lsr,predicted_activity,predicted_equipment,predicted_hazards,predicted_barrier_failures,predicted_potential_consequences,predicted_precursor_tags,predicted_lsr
REP-8BC0D868,2022-08-20,Station Foxtrot,Boiler Area,Near Miss,"Worker performing Lifting on Hydraulic Torque Wrench had their hands slightly close to a rough edge, causing a minor scratch.",0,0.2458,Line of Fire,"[{""value"": ""Mechanical Lifting"", ""evidence"": ""Lifting"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}, {""value"": ""Torquing"", ""evidence"": ""Torque"", ""confidence"": ""MEDIUM"", ""match_method"": ""regex""}]","[{""value"": ""Torque Wrench"", ""evidence"": ""Torque Wrench"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]",[],[],[],[],"[{""rule"": ""Line of Fire"", ""score"": 0.9509074575985368}]"
REP-A78AEB76,2021-04-08,Refinery Delta,Pump Room,Incident,"Worker doing Tank Cleaning in Storage Tank A complained about poor lighting, though gas levels were normal.",0,0.0719,Confined Space,"[{""value"": ""Confined Space Entry"", ""evidence"": ""Tank Cleaning"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}, {""value"": ""Cleaning"", ""evidence"": ""Cleaning"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]","[{""value"": ""Tank"", ""evidence"": ""Tank Cleaning"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]",[],[],[],[],"[{""rule"": ""Confined Space"", ""score"": 0.9531834092960334}]"
REP-2D3A9D7E,2020-07-22,Refinery Delta,Control Room,Incident,Welder doing Soldering with Oxy-Acetylene Torch had untucked coveralls.,0,0.0314,Hot Work,"[{""value"": ""Hot Work"", ""evidence"": ""Welder"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]","[{""value"": ""Torch"", ""evidence"": ""Torch"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]",[],[],[],[],"[{""rule"": ""Hot Work"", ""score"": 0.9738795702149491}]"
REP-A45E4106,2022-01-26,Station Foxtrot,Pump Room,Near Miss,"While Site Patrol with Light Vehicle, the driver was observed Fatigued driver. This led to a near miss involving Rollover.",1,0.8513,Driving,"[{""value"": ""Vehicle Movement"", ""evidence"": ""Site Patrol"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]","[{""value"": ""Vehicle"", ""evidence"": ""Light Vehicle"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]","[{""value"": ""Vehicle Interaction"", ""evidence"": ""Rollover"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]","[{""value"": ""TRAFFIC_CONTROL_FAILURE"", ""evidence"": ""Fatigued driver"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]","[{""value"": ""Vehicle / Pedestrian Injury"", ""evidence"": ""Rollover"", ""confidence"": ""MEDIUM"", ""match_method"": ""synonym""}]","[""vehicle-interaction""]","[{""rule"": ""Driving"", ""score"": 0.9604664688219602}]"
REP-26E5EE97,2020-06-09,Terminal Echo,Loading Bay,Unsafe Condition,Radio in Vacuum Truck was left on high volume after Transporting Personnel.,0,0.1085,Driving,"[{""value"": ""Vehicle Movement"", ""evidence"": ""Transporting Personnel"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]","[{""value"": ""Vehicle"", ""evidence"": ""Truck was"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]",[],[],[],[],"[{""rule"": ""Driving"", ""score"": 0.9753672410856273}]"
REP-F4BD88D7,2022-02-28,Refinery Delta,Pump Room,Unsafe Condition,"During Lifting, Excavator failed unexpectedly. Because Tension line snapped, the worker was exposed to Caught between objects. Fortunately, the worker jumped back in time.",1,0.9817,Line of Fire,"[{""value"": ""Mechanical Lifting"", ""evidence"": ""Lifting"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]","[{""value"": ""Excavator"", ""evidence"": ""Excavator"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]","[{""value"": ""Line-of-Fire Exposure"", ""evidence"": ""Caught between objects"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]","[{""value"": ""LINE_OF_FIRE_CONTROL_FAILURE"", ""evidence"": ""Tension line snapped"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]",[],"[""line-of-fire""]","[{""rule"": ""Line of Fire"", ""score"": 0.9284541941270047}]"
REP-10F4B33C,2020-06-05,Facility Bravo,Boiler Area,Near Miss,"Scaffolding tubes for Pipe Rack Level 3 were stored untidily, causing a minor trip hazard during Rigging.",0,0.1589,Work at Height,"[{""value"": ""Mechanical Lifting"", ""evidence"": ""Rigging"", ""confidence"": ""MEDIUM"", ""match_method"": ""regex""}, {""value"": ""Working at Height"", ""evidence"": ""Scaffolding"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]","[{""value"": ""Structure"", ""evidence"": ""Pipe Rack"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}, {""value"": ""Rigging"", ""evidence"": ""Rigging"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]",[],[],[],[],"[{""rule"": ""Work at Height"", ""score"": 0.9629528872688576}, {""rule"": ""Safe Mechanical Lifting"", ""score"": 0.36185388670356666}]"
REP-670D43FA,2022-09-30,Station Foxtrot,Pipe Rack 2,Unsafe Condition,The welding lead for Angle Grinder was slightly tangled during Torch Cutting.,0,0.1879,Hot Work,"[{""value"": ""Hot Work"", ""evidence"": ""welding"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]","[{""value"": ""Grinder"", ""evidence"": ""Angle Grinder"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}, {""value"": ""Torch"", ""evidence"": ""Torch"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]",[],[],[],[],"[{""rule"": ""Hot Work"", ""score"": 0.9822861354748581}, {""rule"": ""Line of Fire"", ""score"": 0.4080439458221028}]"
REP-9913DB8E,2022-04-30,Station Foxtrot,Main Workshop,Near Miss,The horn on Chain Block sounded a bit quiet during Forklift Operation.,0,0.0425,Safe Mechanical Lifting,"[{""value"": ""Mechanical Lifting"", ""evidence"": ""Forklift Operation"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]","[{""value"": ""Block Sounded"", ""evidence"": ""Block sounded"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}, {""value"": ""Crane"", ""evidence"": ""Chain Block"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}, {""value"": ""Forklift"", ""evidence"": ""Forklift"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]",[],[],[],[],"[{""rule"": ""Safe Mechanical Lifting"", ""score"": 0.9667241735789898}, {""rule"": ""Driving"", ""score"": 0.38969286573501327}]"
REP-0E99F988,2021-01-28,Station Foxtrot,Deck 3,Unsafe Act,"While investigating Fire & Gas Panel, it was found that Safety valve isolated during Process Operation. This exposed the facility to Loss of containment.",1,0.9505,Bypassing Safety Controls,"[{""value"": ""Operations"", ""evidence"": ""Process Operation"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]","[{""value"": ""Valve"", ""evidence"": ""valve isolated"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}, {""value"": ""Electrical Panel"", ""evidence"": ""Gas Panel"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]","[{""value"": ""Loss of Containment"", ""evidence"": ""Loss of containment"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]","[{""value"": ""SAFETY_DEVICE_BYPASS"", ""evidence"": ""Safety valve isolated"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]","[{""value"": ""Major Process Safety Event"", ""evidence"": ""Loss of containment"", ""confidence"": ""MEDIUM"", ""match_method"": ""synonym""}]","[""bypassed-interlock""]","[{""rule"": ""Bypassing Safety Controls"", ""score"": 0.8459723263379099}, {""rule"": ""Energy Isolation"", ""score"": 0.36613463701671617}]"
REP-954C1EA5,2021-11-06,Refinery Delta,Pump Room,Incident,"Rigging was ongoing near Pipe Rack Level 3 when grating was removed. Harness not clipped left the hole unprotected, creating a high risk of Open grating.",1,0.8989,Work at Height,"[{""value"": ""Mechanical Lifting"", ""evidence"": ""Rigging"", ""confidence"": ""MEDIUM"", ""match_method"": ""regex""}]","[{""value"": ""Structure"", ""evidence"": ""Pipe Rack"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}, {""value"": ""Rigging"", ""evidence"": ""Rigging"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]","[{""value"": ""Fall from Height"", ""evidence"": ""Open grating"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]","[{""value"": ""FALL_PROTECTION_FAILURE"", ""evidence"": ""Harness not clipped"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]","[{""value"": ""Fall Injury"", ""evidence"": ""Open grating"", ""confidence"": ""MEDIUM"", ""match_method"": ""synonym""}, {""value"": ""Fatal Fall"", ""evidence"": ""Open grating"", ""confidence"": ""MEDIUM"", ""match_method"": ""synonym""}]","[""fall-protection""]","[{""rule"": ""Work at Height"", ""score"": 0.9274781913564526}, {""rule"": ""Safe Mechanical Lifting"", ""score"": 0.5092036894890206}]"
REP-91F3276D,2021-09-05,Station Foxtrot,Storage Tank A,Unsafe Condition,Tools used for Vessel Welding in Separator V-10 were left outside the entrance untidily.,0,0.0732,Confined Space,"[{""value"": ""Hot Work"", ""evidence"": ""Welding"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]","[{""value"": ""Vessel"", ""evidence"": ""Vessel Welding"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}, {""value"": ""Separator V-10"", ""evidence"": ""Separator V-10"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}, {""value"": ""In Separator"", ""evidence"": ""in Separator"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]",[],[],[],[],"[{""rule"": ""Confined Space"", ""score"": 0.9466453525228766}, {""rule"": ""Hot Work"", ""score"": 0.3717569386832537}, {""rule"": ""Line of Fire"", ""score"": 0.35778727361607005}]"
REP-DD8ACE7A,2020-04-21,Site Alpha,Pump Room,Near Miss,Fire extinguisher near Oxy-Acetylene Torch for Grinding was due for monthly inspection next week.,0,0.1157,Hot Work,"[{""value"": ""Maintenance"", ""evidence"": ""inspection"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}, {""value"": ""Hot Work"", ""evidence"": ""Grinding"", ""confidence"": ""MEDIUM"", ""match_method"": ""regex""}]","[{""value"": ""Torch"", ""evidence"": ""Torch"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]",[],[],[],[],"[{""rule"": ""Hot Work"", ""score"": 0.9722737593837436}]"
REP-2568AEE3,2021-01-04,Facility Bravo,Boiler Area,Incident,"During Pressure Testing, a piece of non-tensioned wire from Excavator was left on the floor.",0,0.2447,Line of Fire,"[{""value"": ""Pressure Testing"", ""evidence"": ""Pressure Testing"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]","[{""value"": ""Excavator"", ""evidence"": ""Excavator"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]",[],[],[],[],"[{""rule"": ""Line of Fire"", ""score"": 0.9796603895484014}]"
REP-A12CF9E5,2020-10-27,Site Alpha,Drilling Floor,Incident,"During Painting, worker used the correct harness but the inspection log was not filled in for Pipe Rack Level 3.",0,0.0932,Work at Height,"[{""value"": ""Maintenance"", ""evidence"": ""inspection"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}, {""value"": ""Painting"", ""evidence"": ""Painting"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]","[{""value"": ""Structure"", ""evidence"": ""Pipe Rack"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]",[],[],[],[],"[{""rule"": ""Work at Height"", ""score"": 0.9312633125810524}]"
REP-A15806AE,2022-03-26,Site Alpha,Control Room,Incident,"Worker performing Trenching on Drill Pipe had their hands slightly close to a rough edge, causing a minor scratch.",0,0.0828,Line of Fire,"[{""value"": ""Drilling"", ""evidence"": ""Drill"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}, {""value"": ""Excavation"", ""evidence"": ""Trenching"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]","[{""value"": ""Drill Pipe"", ""evidence"": ""Drill Pipe"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]",[],[],[],[],"[{""rule"": ""Line of Fire"", ""score"": 0.9559490422982673}]"
REP-FCF4F9CB,2023-05-19,Site Alpha,Deck 3,Unsafe Condition,"Scaffolding tubes for Pipe Rack Level 3 were stored untidily, causing a minor trip hazard during Roof Repair.",0,0.0598,Work at Height,"[{""value"": ""Maintenance"", ""evidence"": ""Repair"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}, {""value"": ""Working at Height"", ""evidence"": ""Scaffolding"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]","[{""value"": ""Structure"", ""evidence"": ""Pipe Rack"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]",[],[],[],[],"[{""rule"": ""Work at Height"", ""score"": 0.9770038979476149}]"
REP-9E55A2DE,2020-02-26,Terminal Echo,Boiler Area,Near Miss,JSA for General Maintenance near Process Module 4 was printed on crumpled paper.,0,0.0139,Work Authorization,"[{""value"": ""Maintenance"", ""evidence"": ""Maintenance"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]","[{""value"": ""Facility"", ""evidence"": ""Process Module"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]",[],[],[],[],"[{""rule"": ""Work Authorization"", ""score"": 0.730347865678284}]"
REP-4084BD86,2020-06-22,Terminal Echo,Deck 3,Near Miss,"During Torquing, a piece of non-tensioned wire from Hydraulic Torque Wrench was left on the floor.",0,0.1879,Line of Fire,"[{""value"": ""Torquing"", ""evidence"": ""Torquing"", ""confidence"": ""MEDIUM"", ""match_method"": ""regex""}]","[{""value"": ""Torque Wrench"", ""evidence"": ""Torque Wrench"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]",[],[],[],[],"[{""rule"": ""Line of Fire"", ""score"": 0.9495791696153156}]"
REP-6A6FC483,2021-08-23,Facility Bravo,Pump Room,Unsafe Condition,"A contractor began Torch Cutting using Angle Grinder. A safety walk discovered Sparks falling to lower deck, immediately stopping work due to Toxic fumes risk.",1,0.9139,Hot Work,"[{""value"": ""Hot Work"", ""evidence"": ""Torch Cutting"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}, {""value"": ""Chemical Handling"", ""evidence"": ""Toxic"", ""confidence"": ""MEDIUM"", ""match_method"": ""regex""}, {""value"": ""Contractor Work"", ""evidence"": ""contractor"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]","[{""value"": ""Grinder"", ""evidence"": ""Angle Grinder"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}, {""value"": ""Torch"", ""evidence"": ""Torch"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]","[{""value"": ""Toxic Gas"", ""evidence"": ""Toxic fumes"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]",[],"[{""value"": ""Toxic Exposure"", ""evidence"": ""fumes"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]",[],"[{""rule"": ""Hot Work"", ""score"": 0.9314208243933341}, {""rule"": ""Line of Fire"", ""score"": 0.413714066544645}]"
REP-F3C20639,2020-12-21,Site Alpha,Drilling Floor,Unsafe Act,Tools used for Internal Inspection in Separator V-10 were left outside the entrance untidily.,0,0.105,Confined Space,"[{""value"": ""Maintenance"", ""evidence"": ""Inspection"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]","[{""value"": ""Separator V-10"", ""evidence"": ""Separator V-10"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}, {""value"": ""In Separator"", ""evidence"": ""in Separator"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]",[],[],[],[],"[{""rule"": ""Confined Space"", ""score"": 0.9299784479980551}, {""rule"": ""Line of Fire"", ""score"": 0.39731821466828565}]"
REP-BC5D82BB,2021-11-04,Platform Charlie,Control Room,Unsafe Condition,Paint on Mobile Crane used for Crane Lifting is peeling off.,0,0.0345,Safe Mechanical Lifting,"[{""value"": ""Mechanical Lifting"", ""evidence"": ""Lifting"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}, {""value"": ""Painting"", ""evidence"": ""Paint"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]","[{""value"": ""Crane"", ""evidence"": ""Crane used"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]",[],[],[],[],"[{""rule"": ""Safe Mechanical Lifting"", ""score"": 0.9656805887433778}]"
REP-028235B2,2022-05-19,Terminal Echo,Pump Room,Incident,Operator logged System Maintenance for Shutdown Valve SDV-1 in the wrong logbook.,0,0.0444,Bypassing Safety Controls,"[{""value"": ""Maintenance"", ""evidence"": ""Maintenance"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]","[{""value"": ""System Maintenance"", ""evidence"": ""System Maintenance"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}, {""value"": ""Valve"", ""evidence"": ""Valve SDV-1"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}, {""value"": ""Logged System"", ""evidence"": ""logged System"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]",[],[],[],[],"[{""rule"": ""Bypassing Safety Controls"", ""score"": 0.9761316417492889}]"
REP-E2A0E2B6,2020-08-12,Refinery Delta,Main Workshop,Near Miss,Permit for Non-routine Task at Utility Area had a minor spelling mistake in the supervisor's name.,0,0.135,Work Authorization,"[{""value"": ""Operations"", ""evidence"": ""Non-routine Task"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]","[{""value"": ""Facility"", ""evidence"": ""Utility Area"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]",[],[],[],[],"[{""rule"": ""Work Authorization"", ""score"": 0.9867807067527453}]"
REP-18492665,2023-05-18,Terminal Echo,Pipe Rack 2,Incident,"Worker performing Trenching on High Pressure Hose had their hands slightly close to a rough edge, causing a minor scratch.",0,0.1599,Line of Fire,"[{""value"": ""Excavation"", ""evidence"": ""Trenching"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]","[{""value"": ""Hose"", ""evidence"": ""Pressure Hose"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]",[],[],[],[],"[{""rule"": ""Line of Fire"", ""score"": 0.9770630037668946}]"
REP-1F004D32,2021-11-03,Platform Charlie,Control Room,Incident,"Crane Lifting was taking place with Mobile Crane. It was found that Overloaded crane, which is a severe violation that could result in Crane tip-over.",1,0.9502,Safe Mechanical Lifting,"[{""value"": ""Mechanical Lifting"", ""evidence"": ""Lifting"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]","[{""value"": ""Crane"", ""evidence"": ""Crane Lifting"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]","[{""value"": ""Suspended Load"", ""evidence"": ""Crane tip-over"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]","[{""value"": ""LIFTING_CONTROL_FAILURE"", ""evidence"": ""Overloaded crane"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]","[{""value"": ""Crushing Injury"", ""evidence"": ""Crane tip-over"", ""confidence"": ""MEDIUM"", ""match_method"": ""synonym""}, {""value"": ""Struck-By Injury"", ""evidence"": ""Crane tip-over"", ""confidence"": ""MEDIUM"", ""match_method"": ""synonym""}]","[""suspended-load""]","[{""rule"": ""Safe Mechanical Lifting"", ""score"": 0.8344699112887274}, {""rule"": ""Line of Fire"", ""score"": 0.3938476506226267}]"
REP-3E00109C,2022-12-02,Platform Charlie,Pump Room,Incident,"While investigating Pressure Safety Valve PSV-90, it was found that Safety valve isolated during Process Operation. This exposed the facility to Loss of containment.",1,0.8867,Bypassing Safety Controls,"[{""value"": ""Operations"", ""evidence"": ""Process Operation"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]","[{""value"": ""Valve"", ""evidence"": ""Valve PSV-90"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]","[{""value"": ""Loss of Containment"", ""evidence"": ""Loss of containment"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]","[{""value"": ""SAFETY_DEVICE_BYPASS"", ""evidence"": ""Safety valve isolated"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]","[{""value"": ""Major Process Safety Event"", ""evidence"": ""Loss of containment"", ""confidence"": ""MEDIUM"", ""match_method"": ""synonym""}]","[""bypassed-interlock""]","[{""rule"": ""Bypassing Safety Controls"", ""score"": 0.8100377811265056}, {""rule"": ""Energy Isolation"", ""score"": 0.5049596536476705}]"
REP-E2FBCF5E,2021-09-28,Terminal Echo,Pipe Rack 2,Incident,Fire extinguisher near Angle Grinder for Torch Cutting was due for monthly inspection next week.,0,0.1411,Hot Work,"[{""value"": ""Maintenance"", ""evidence"": ""inspection"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}, {""value"": ""Hot Work"", ""evidence"": ""Torch Cutting"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]","[{""value"": ""Grinder"", ""evidence"": ""Angle Grinder"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}, {""value"": ""Torch"", ""evidence"": ""Torch"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]",[],[],[],[],"[{""rule"": ""Hot Work"", ""score"": 0.9736906379484346}]"
REP-1BD198AD,2023-06-19,Station Foxtrot,Storage Tank A,Incident,"Noticed Electrical Panel EP-5 had a minor weep during Maintenance. LOTO was applied correctly, but cleanup was delayed.",0,0.0472,Energy Isolation,"[{""value"": ""Maintenance"", ""evidence"": ""Maintenance"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]","[{""value"": ""Electrical Panel"", ""evidence"": ""Panel EP-5"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]","[{""value"": ""Electrical Energy"", ""evidence"": ""Electrical"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]",[],"[{""value"": ""Electrical Injury"", ""evidence"": ""Electrical"", ""confidence"": ""MEDIUM"", ""match_method"": ""synonym""}]",[],"[{""rule"": ""Energy Isolation"", ""score"": 0.6749999171541501}]"
REP-91F41AD5,2020-04-10,Facility Bravo,Storage Tank A,Unsafe Act,Indicator bulb on DCS System was burnt out during Alarm Testing.,0,0.1822,Bypassing Safety Controls,"[{""value"": ""Operations"", ""evidence"": ""Alarm Testing"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]","[{""value"": ""System Was"", ""evidence"": ""System was"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}, {""value"": ""Electrical Panel"", ""evidence"": ""DCS System"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]",[],[],[],[],"[{""rule"": ""Bypassing Safety Controls"", ""score"": 0.9847796083806976}]"
REP-C600224D,2022-04-06,Site Alpha,Loading Bay,Unsafe Condition,"Operator was performing Repair on Electrical Panel EP-5. It was discovered that Energy not verified zero, leaving the system vulnerable to Steam leak. Work was stopped immediately.",1,0.8064,Energy Isolation,"[{""value"": ""Maintenance"", ""evidence"": ""Repair"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]","[{""value"": ""Electrical Panel"", ""evidence"": ""Panel EP-5"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}, {""value"": ""System Vulnerable"", ""evidence"": ""system vulnerable"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}, {""value"": ""The System"", ""evidence"": ""the system"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]","[{""value"": ""Loss of Containment"", ""evidence"": ""Steam leak"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}, {""value"": ""Electrical Energy"", ""evidence"": ""Electrical"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]","[{""value"": ""ENERGY_ISOLATION_FAILURE"", ""evidence"": ""Energy not verified zero"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]","[{""value"": ""Major Process Safety Event"", ""evidence"": ""Steam leak"", ""confidence"": ""MEDIUM"", ""match_method"": ""synonym""}, {""value"": ""Electrical Injury"", ""evidence"": ""Electrical"", ""confidence"": ""MEDIUM"", ""match_method"": ""synonym""}]","[""missing-loto""]","[{""rule"": ""Energy Isolation"", ""score"": 0.8083606674609694}, {""rule"": ""Bypassing Safety Controls"", ""score"": 0.594951384909742}]"
REP-650DBB37,2022-02-26,Station Foxtrot,Deck 3,Unsafe Condition,"During Pressure Testing, a piece of non-tensioned wire from High Pressure Hose was left on the floor.",0,0.306,Line of Fire,"[{""value"": ""Pressure Testing"", ""evidence"": ""Pressure Testing"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]","[{""value"": ""Hose"", ""evidence"": ""Pressure Hose"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]",[],[],[],[],"[{""rule"": ""Line of Fire"", ""score"": 0.9506469874840261}]"
REP-2468CD7A,2021-05-27,Site Alpha,Deck 3,Unsafe Condition,Operator logged System Maintenance for Shutdown Valve SDV-1 in the wrong logbook.,0,0.0444,Bypassing Safety Controls,"[{""value"": ""Maintenance"", ""evidence"": ""Maintenance"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]","[{""value"": ""System Maintenance"", ""evidence"": ""System Maintenance"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}, {""value"": ""Valve"", ""evidence"": ""Valve SDV-1"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}, {""value"": ""Logged System"", ""evidence"": ""logged System"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]",[],[],[],[],"[{""rule"": ""Bypassing Safety Controls"", ""score"": 0.9761316417492889}]"
REP-478ECD55,2021-04-14,Station Foxtrot,Control Room,Unsafe Condition,Operator logged System Maintenance for Shutdown Valve SDV-1 in the wrong logbook.,0,0.0444,Bypassing Safety Controls,"[{""value"": ""Maintenance"", ""evidence"": ""Maintenance"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]","[{""value"": ""System Maintenance"", ""evidence"": ""System Maintenance"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}, {""value"": ""Valve"", ""evidence"": ""Valve SDV-1"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}, {""value"": ""Logged System"", ""evidence"": ""logged System"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]",[],[],[],[],"[{""rule"": ""Bypassing Safety Controls"", ""score"": 0.9761316417492889}]"
REP-B9D36BE9,2021-11-14,Facility Bravo,Loading Bay,Incident,The Forklift was slightly dirty during Site Patrol.,0,0.0461,Driving,"[{""value"": ""Vehicle Movement"", ""evidence"": ""Site Patrol"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]","[{""value"": ""Forklift"", ""evidence"": ""Forklift"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]",[],[],[],[],"[{""rule"": ""Driving"", ""score"": 0.9049802178978547}]"
REP-F8332EBB,2023-12-25,Platform Charlie,Drilling Floor,Incident,The entry log for Storage Tank A during Vessel Welding was smudged with dirt.,0,0.0064,Confined Space,"[{""value"": ""Hot Work"", ""evidence"": ""Welding"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]","[{""value"": ""Tank"", ""evidence"": ""Tank A"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}, {""value"": ""Vessel"", ""evidence"": ""Vessel Welding"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]",[],[],[],[],"[{""rule"": ""Confined Space"", ""score"": 0.9705843119273848}]"
