report_id,date,site,location,report_type,activity,description,sif_label,sif_potential,primary_lsr,lsr_tags,hazard,barrier_failure,equipment,potential_consequence,actual_consequence,precursor_tags,severity
REP-FD250D46,2022-03-08,Facility Bravo,Drilling Floor,Incident,General Maintenance,JSA for General Maintenance near Utility Area was printed on crumpled paper.,0,0.38,Work Authorization,Work Authorization,None,None,Utility Area,Minor injury,None,,Low
REP-CD91A19E,2022-01-28,Station Foxtrot,Loading Bay,Incident,Torquing,Barricade tape for Torquing near Winch W-2 was blown down by the wind. No operations were ongoing.,0,0.26,Line of Fire,Line of Fire,None,None,Winch W-2,Minor injury,None,,Low
REP-0E3F18D6,2020-06-27,Platform Charlie,Storage Tank A,Near Miss,Grinding,"During Grinding, a piece of non-tensioned wire from Excavator was left on the floor.",0,0.26,Line of Fire,Line of Fire,None,None,Excavator,Minor injury,None,,Low
REP-867987D7,2022-05-18,Station Foxtrot,Pipe Rack 2,Unsafe Condition,Scaffolding,Worker's chin strap on helmet was loose during Scaffolding on Crane C-1.,0,0.39,Work at Height,Work at Height|Hot Work,None,None,Crane C-1,Minor injury,None,,Low
REP-7B104C8E,2021-12-07,Facility Bravo,Pipe Rack 2,Unsafe Act,Transporting Personnel,Driver doing Transporting Personnel in Forklift parked slightly outside the designated lines.,0,0.28,Driving,Driving,None,None,Forklift,Minor injury,None,,Low
REP-4B28398C,2022-02-15,Facility Bravo,Drilling Floor,Unsafe Act,Trenching,"Worker performing Trenching on Hydraulic Torque Wrench had their hands slightly close to a rough edge, causing a minor scratch.",0,0.17,Line of Fire,Line of Fire,None,None,Hydraulic Torque Wrench,Minor injury,None,,Low
REP-80AAC282,2022-03-17,Facility Bravo,Main Workshop,Unsafe Act,Vessel Welding,Tools used for Vessel Welding in Storage Tank A were left outside the entrance untidily.,0,0.26,Confined Space,Confined Space,None,None,Storage Tank A,Minor injury,None,,Low
REP-AEED72C6,2021-01-16,Refinery Delta,Drilling Floor,Unsafe Act,General Maintenance,JSA for General Maintenance near Utility Area was printed on crumpled paper.,0,0.36,Work Authorization,Work Authorization,None,None,Utility Area,Minor injury,None,,Low
REP-3EBBB8F2,2022-08-21,Refinery Delta,Drilling Floor,Near Miss,General Maintenance,"Crew commenced General Maintenance at Process Module 4 but JSA not discussed. Unaware of SIMOPS, they were exposed to Uncontrolled work.",1,0.92,Work Authorization,Work Authorization,Uncontrolled work,JSA not discussed,Process Module 4,Process incident,None,inadequate planning|unauthorized work,High
REP-3273E82A,2023-12-23,Facility Bravo,Deck 3,Unsafe Condition,Trenching,"Worker performing Trenching on Excavator had their hands slightly close to a rough edge, causing a minor scratch.",0,0.15,Line of Fire,Line of Fire,None,None,Excavator,Minor injury,None,,Low
REP-53A04CC5,2023-01-31,Refinery Delta,Boiler Area,Near Miss,Grinding,"Worker performing Grinding on High Pressure Hose had their hands slightly close to a rough edge, causing a minor scratch.",0,0.17,Line of Fire,Line of Fire,None,None,High Pressure Hose,Minor injury,None,,Low
REP-B5C53BF8,2023-11-02,Facility Bravo,Pump Room,Near Miss,Alarm Testing,Operator logged Alarm Testing for Shutdown Valve SDV-1 in the wrong logbook.,0,0.21,Bypassing Safety Controls,Bypassing Safety Controls,None,None,Shutdown Valve SDV-1,Minor injury,None,,Low
REP-814B9205,2021-05-25,Platform Charlie,Deck 3,Near Miss,Pipefitting,"The tag for Valve V-99 was faded during Pipefitting. No Stored energy discharge was present, but tag needs replacement.",0,0.21,Energy Isolation,Energy Isolation|Work Authorization,None,None,Valve V-99,Minor injury,None,,Low
REP-D13C111F,2021-01-06,Facility Bravo,Boiler Area,Unsafe Condition,Vessel Welding,Tools used for Vessel Welding in Reactor R-5 were left outside the entrance untidily.,0,0.21,Confined Space,Confined Space,None,None,Reactor R-5,Minor injury,None,,Low
REP-DDB72A6A,2023-07-21,Facility Bravo,Loading Bay,Near Miss,Process Operation,Operator engaged in Process Operation admitted to bypassing safety logic on Fire & Gas Panel. Alarm disabled is a severe breach leading to Overpressure.,1,0.82,Bypassing Safety Controls,Bypassing Safety Controls|Confined Space,Overpressure,Alarm disabled,Fire & Gas Panel,Catastrophic release,Property Damage,disabled safety device|unauthorized override,High
REP-9E3D2651,2020-04-07,Facility Bravo,Pump Room,Unsafe Act,Pipefitting,"Noticed Pump P-204 had a minor weep during Pipefitting. LOTO was applied correctly, but cleanup was delayed.",0,0.13,Energy Isolation,Energy Isolation,None,None,Pump P-204,Minor injury,None,,Low
REP-DC1352ED,2020-07-17,Station Foxtrot,Pump Room,Unsafe Condition,Grinding,"During Grinding with Oxy-Acetylene Torch, Gas test expired allowed slag to ignite a small fire. Toxic fumes potential was extremely high.",1,0.81,Hot Work,Hot Work,Toxic fumes,Gas test expired,Oxy-Acetylene Torch,Fatal burns,None,flammable atmosphere|hydrocarbon presence,High
REP-17563CC0,2020-09-03,Site Alpha,Loading Bay,Unsafe Condition,Torch Cutting,Fire extinguisher near Angle Grinder for Torch Cutting was due for monthly inspection next week.,0,0.3,Hot Work,Hot Work,None,None,Angle Grinder,Minor injury,None,,Low
REP-B5B237B0,2022-05-06,Terminal Echo,Main Workshop,Near Miss,Scaffolding,Worker's chin strap on helmet was loose during Scaffolding on Cherry Picker.,0,0.06,Work at Height,Work at Height,None,None,Cherry Picker,Minor injury,None,,Low
REP-F69C5F2B,2020-09-21,Platform Charlie,Pump Room,Unsafe Act,Non-routine Task,Worker doing Non-routine Task at Process Module 4 did not sign the permit exactly on the line.,0,0.12,Work Authorization,Work Authorization,None,None,Process Module 4,Minor injury,None,,Low
REP-4D4A6D85,2021-07-10,Facility Bravo,Boiler Area,Unsafe Act,Vessel Welding,"Worker doing Vessel Welding in Reactor R-5 complained about poor lighting, though gas levels were normal.",0,0.17,Confined Space,Confined Space,None,None,Reactor R-5,Minor injury,None,,Low
REP-1CF8C3E5,2020-04-03,Terminal Echo,Loading Bay,Near Miss,Vessel Welding,Worker entered Storage Tank A for Vessel Welding. Suddenly the alarm sounded. Ventilation failed meant the worker was exposed to Heat exhaustion.,1,0.86,Confined Space,Confined Space,Heat exhaustion,Ventilation failed,Storage Tank A,Fatality due to toxic gas,None,poor ventilation|deep excavation,Medium
REP-C68C4A48,2020-06-19,Station Foxtrot,Pipe Rack 2,Near Miss,Torquing,"While conducting Torquing with Hydraulic Torque Wrench, an IP stepped into the danger zone. Standing in pinch point resulted in the worker being in the Line of Fire for Whip from parted cable.",1,0.89,Line of Fire,Line of Fire,Whip from parted cable,Standing in pinch point,Hydraulic Torque Wrench,Amputation,First Aid,suspended load|tensioned line,High
REP-307A7716,2020-12-27,Platform Charlie,Pump Room,Unsafe Act,Alarm Testing,"Screen on Fire & Gas Panel was dirty, making it hard to read during Alarm Testing.",0,0.39,Bypassing Safety Controls,Bypassing Safety Controls,None,None,Fire & Gas Panel,Minor injury,None,,Low
REP-0276F7BC,2022-03-20,Facility Bravo,Control Room,Unsafe Condition,Alarm Testing,"Screen on Fire & Gas Panel was dirty, making it hard to read during Alarm Testing.",0,0.33,Bypassing Safety Controls,Bypassing Safety Controls,None,None,Fire & Gas Panel,Minor injury,None,,Low
REP-AA895156,2021-01-04,Station Foxtrot,Main Workshop,Unsafe Act,System Maintenance,Indicator bulb on Pressure Safety Valve PSV-90 was burnt out during System Maintenance.,0,0.23,Bypassing Safety Controls,Bypassing Safety Controls,None,None,Pressure Safety Valve PSV-90,Minor injury,None,,Low
REP-8F5F7CC2,2020-10-08,Station Foxtrot,Pump Room,Unsafe Act,Grinding,"Worker performing Grinding on Drill Pipe had their hands slightly close to a rough edge, causing a minor scratch.",0,0.29,Line of Fire,Line of Fire|Safe Mechanical Lifting,None,None,Drill Pipe,Minor injury,None,,Low
REP-15FAE76E,2020-01-20,Site Alpha,Pipe Rack 2,Near Miss,Maintenance,"The tag for Pump P-204 was faded during Maintenance. No Pressurized hydrocarbon release was present, but tag needs replacement.",0,0.24,Energy Isolation,Energy Isolation,None,None,Pump P-204,Minor injury,None,,Low
REP-5589BCED,2020-04-24,Terminal Echo,Main Workshop,Unsafe Act,Painting,"Scaffolding tubes for Crane C-1 were stored untidily, causing a minor trip hazard during Painting.",0,0.07,Work at Height,Work at Height,None,None,Crane C-1,Minor injury,None,,Low
REP-AA1AC43B,2023-09-04,Platform Charlie,Loading Bay,Incident,Maintenance,"During Maintenance of Heat Exchanger HX-2, the technician started loosening the flange while the line was still pressurized. Isolation valve was closed but LOTO not applied. Stored energy discharge occurred. No injury occurred but potential was high.",1,0.82,Energy Isolation,Energy Isolation,Stored energy discharge,LOTO not applied,Heat Exchanger HX-2,Asphyxiation,First Aid,inadequate isolation|stored energy,Medium
REP-91989AF6,2020-08-30,Platform Charlie,Deck 3,Unsafe Act,Roof Repair,Worker's chin strap on helmet was loose during Roof Repair on Crane C-1.,0,0.25,Work at Height,Work at Height,None,None,Crane C-1,Minor injury,None,,Low
REP-3953E364,2021-12-14,Site Alpha,Main Workshop,Incident,Grinding,Barricade tape for Grinding near Drill Pipe was blown down by the wind. No operations were ongoing.,0,0.33,Line of Fire,Line of Fire,None,None,Drill Pipe,Minor injury,None,,Low
REP-A80DAC75,2020-08-19,Terminal Echo,Storage Tank A,Near Miss,Crane Lifting,Paint on Mobile Crane used for Crane Lifting is peeling off.,0,0.33,Safe Mechanical Lifting,Safe Mechanical Lifting,None,None,Mobile Crane,Minor injury,None,,Low
REP-8E77A882,2023-09-01,Facility Bravo,Storage Tank A,Incident,Grinding,"During Grinding with Angle Grinder, Gas test expired allowed slag to ignite a small fire. Toxic fumes potential was extremely high.",1,0.87,Hot Work,Hot Work,Toxic fumes,Gas test expired,Angle Grinder,Facility explosion,None,hydrocarbon presence|sparks,High
REP-81A110DB,2021-03-25,Station Foxtrot,Deck 3,Unsafe Condition,Heavy Haulage,Radio in Light Vehicle was left on high volume after Heavy Haulage.,0,0.31,Driving,Driving,None,None,Light Vehicle,Minor injury,None,,Low
REP-6DF5049C,2023-02-03,Refinery Delta,Loading Bay,Unsafe Condition,Tank Cleaning,"Worker doing Tank Cleaning in Underground Sump complained about poor lighting, though gas levels were normal.",0,0.19,Confined Space,Confined Space|Bypassing Safety Controls,None,None,Underground Sump,Minor injury,None,,Low
REP-FA44E84D,2023-09-19,Terminal Echo,Deck 3,Incident,Inspection,"Noticed Pump P-204 had a minor weep during Inspection. LOTO was applied correctly, but cleanup was delayed.",0,0.28,Energy Isolation,Energy Isolation,None,None,Pump P-204,Minor injury,None,,Low
REP-8BC0D868,2022-08-20,Station Foxtrot,Boiler Area,Near Miss,Lifting,"Worker performing Lifting on Hydraulic Torque Wrench had their hands slightly close to a rough edge, causing a minor scratch.",0,0.31,Line of Fire,Line of Fire,None,None,Hydraulic Torque Wrench,Minor injury,None,,Low
REP-3C76A455,2022-05-17,Station Foxtrot,Control Room,Near Miss,Soldering,Welder doing Soldering with Welding Machine W-1 had untucked coveralls.,0,0.01,Hot Work,Hot Work|Energy Isolation,None,None,Welding Machine W-1,Minor injury,None,,Low
REP-8AA43348,2023-06-21,Site Alpha,Loading Bay,Incident,Site Patrol,Radio in Vacuum Truck was left on high volume after Site Patrol.,0,0.09,Driving,Driving,None,None,Vacuum Truck,Minor injury,None,,Low
REP-7DB1E041,2021-07-06,Site Alpha,Deck 3,Unsafe Act,Transporting Personnel,"While Transporting Personnel with Forklift, the driver was observed Using mobile phone. This led to a near miss involving Loss of control.",1,0.93,Driving,Driving,Loss of control,Using mobile phone,Forklift,Crush injuries to pedestrian,None,heavy vehicle interaction|high speed,High
REP-21C916A7,2021-09-25,Facility Bravo,Pipe Rack 2,Unsafe Condition,Welding,Welder doing Welding with Angle Grinder had untucked coveralls.,0,0.31,Hot Work,Hot Work,None,None,Angle Grinder,Minor injury,None,,Low
REP-9C0E1AFF,2021-09-24,Site Alpha,Drilling Floor,Near Miss,Inspection,"Noticed Electrical Panel EP-5 had a minor weep during Inspection. LOTO was applied correctly, but cleanup was delayed.",0,0.13,Energy Isolation,Energy Isolation,None,None,Electrical Panel EP-5,Minor injury,None,,Low
REP-33E4EFAA,2022-10-28,Site Alpha,Pipe Rack 2,Unsafe Condition,Material Delivery,Driver doing Material Delivery in Crew Bus parked slightly outside the designated lines.,0,0.36,Driving,Driving,None,None,Crew Bus,Minor injury,None,,Low
REP-126F0F61,2023-10-27,Station Foxtrot,Boiler Area,Unsafe Condition,System Maintenance,"While investigating DCS System, it was found that Alarm disabled during System Maintenance. This exposed the facility to Loss of containment.",1,0.98,Bypassing Safety Controls,Bypassing Safety Controls,Loss of containment,Alarm disabled,DCS System,Major explosion,None,disabled safety device|ignored alarm,Medium
REP-086F35A2,2022-03-04,Facility Bravo,Loading Bay,Unsafe Act,Site Patrol,Radio in Forklift was left on high volume after Site Patrol.,0,0.31,Driving,Driving,None,None,Forklift,Minor injury,None,,Low
REP-C3009FF4,2020-11-26,Site Alpha,Main Workshop,Near Miss,General Maintenance,Permit for General Maintenance at Process Module 4 had a minor spelling mistake in the supervisor's name.,0,0.37,Work Authorization,Work Authorization,None,None,Process Module 4,Minor injury,None,,Low
REP-830BDE0A,2022-09-26,Site Alpha,Drilling Floor,Near Miss,Painting,Worker's chin strap on helmet was loose during Painting on Roof Access Ladder.,0,0.39,Work at Height,Work at Height,None,None,Roof Access Ladder,Minor injury,None,,Low
REP-E2C15D10,2023-10-29,Site Alpha,Pump Room,Unsafe Condition,Grinding,"During Grinding, a piece of non-tensioned wire from Excavator was left on the floor.",0,0.35,Line of Fire,Line of Fire,None,None,Excavator,Minor injury,None,,Low
REP-ACD7C69F,2022-08-04,Station Foxtrot,Deck 3,Near Miss,Transporting Personnel,The Vacuum Truck was slightly dirty during Transporting Personnel.,0,0.16,Driving,Driving,None,None,Vacuum Truck,Minor injury,None,,Low
REP-30E1D46E,2020-05-12,Platform Charlie,Drilling Floor,Incident,Heavy Haulage,The Pickup Truck P-12 was slightly dirty during Heavy Haulage.,0,0.17,Driving,Driving,None,None,Pickup Truck P-12,Minor injury,None,,Low
REP-117478AA,2022-02-17,Site Alpha,Drilling Floor,Incident,General Maintenance,"Crew commenced General Maintenance at Utility Area but PTW not issued. Unaware of SIMOPS, they were exposed to Simultaneous operations clash.",1,0.79,Work Authorization,Work Authorization,Simultaneous operations clash,PTW not issued,Utility Area,Serious injury due to lack of hazard awareness,Property Damage,poor communication|simops,Medium
REP-43F8EF76,2022-04-09,Site Alpha,Main Workshop,Incident,Tank Cleaning,The entry log for Separator V-10 during Tank Cleaning was smudged with dirt.,0,0.04,Confined Space,Confined Space,None,None,Separator V-10,Minor injury,None,,Low
REP-6A09F368,2021-12-16,Refinery Delta,Control Room,Incident,Material Delivery,Driver doing Material Delivery in Crew Bus parked slightly outside the designated lines.,0,0.07,Driving,Driving,None,None,Crew Bus,Minor injury,None,,Low
REP-6957F060,2022-07-28,Facility Bravo,Control Room,Near Miss,Grinding,"Worker performing Grinding on Excavator had their hands slightly close to a rough edge, causing a minor scratch.",0,0.07,Line of Fire,Line of Fire|Confined Space,None,None,Excavator,Minor injury,None,,Low
REP-F90D5615,2023-11-27,Terminal Echo,Boiler Area,Incident,System Maintenance,"While investigating DCS System, it was found that Alarm disabled during System Maintenance. This exposed the facility to Equipment destruction.",1,0.92,Bypassing Safety Controls,Bypassing Safety Controls,Equipment destruction,Alarm disabled,DCS System,Multiple fatalities,First Aid,disabled safety device|unauthorized override,Medium
REP-252D3653,2022-04-20,Platform Charlie,Drilling Floor,Incident,Tank Cleaning,"Prior to Tank Cleaning in Storage Tank A, it was discovered that Ventilation failed. This could have led to Engulfment and potential fatality.",1,0.9,Confined Space,Confined Space,Engulfment,Ventilation failed,Storage Tank A,Asphyxiation,First Aid,poor ventilation|deep excavation,High
REP-E7C8503C,2023-09-12,Station Foxtrot,Storage Tank A,Near Miss,Welding,The welding lead for Angle Grinder was slightly tangled during Welding.,0,0.16,Hot Work,Hot Work,None,None,Angle Grinder,Minor injury,None,,Low
REP-0CBCAC51,2023-01-20,Site Alpha,Control Room,Unsafe Act,Scaffolding,"During Scaffolding, worker used the correct harness but the inspection log was not filled in for Scaffold Tower B.",0,0.3,Work at Height,Work at Height,None,None,Scaffold Tower B,Minor injury,None,,Low
REP-58F3D86C,2022-08-08,Refinery Delta,Storage Tank A,Unsafe Act,Process Operation,Operator logged Process Operation for Pressure Safety Valve PSV-90 in the wrong logbook.,0,0.39,Bypassing Safety Controls,Bypassing Safety Controls,None,None,Pressure Safety Valve PSV-90,Minor injury,None,,Low
REP-947939F4,2022-04-29,Site Alpha,Pump Room,Unsafe Act,Vessel Welding,The entry log for Underground Sump during Vessel Welding was smudged with dirt.,0,0.01,Confined Space,Confined Space,None,None,Underground Sump,Minor injury,None,,Low
REP-FAB1AFE3,2022-05-28,Facility Bravo,Storage Tank A,Unsafe Condition,Torch Cutting,"A contractor began Torch Cutting using Oxy-Acetylene Torch. A safety walk discovered Sparks falling to lower deck, immediately stopping work due to Explosion risk.",1,0.89,Hot Work,Hot Work,Explosion,Sparks falling to lower deck,Oxy-Acetylene Torch,Major fire,Property Damage,hydrocarbon presence|ignition source,Medium
REP-CC632C22,2023-07-08,Platform Charlie,Pipe Rack 2,Unsafe Condition,Grinding,Fire extinguisher near Pipe Spool P-10 for Grinding was due for monthly inspection next week.,0,0.32,Hot Work,Hot Work,None,None,Pipe Spool P-10,Minor injury,None,,Low
REP-7117F4A1,2020-06-10,Terminal Echo,Storage Tank A,Unsafe Act,Tank Cleaning,Tools used for Tank Cleaning in Storage Tank A were left outside the entrance untidily.,0,0.29,Confined Space,Confined Space,None,None,Storage Tank A,Minor injury,None,,Low
REP-F1BC40D5,2022-02-13,Platform Charlie,Pump Room,Near Miss,Grinding,Barricade tape for Grinding near Excavator was blown down by the wind. No operations were ongoing.,0,0.31,Line of Fire,Line of Fire,None,None,Excavator,Minor injury,None,,Low
REP-87EB4C30,2020-06-07,Refinery Delta,Drilling Floor,Unsafe Condition,Lifting,"While conducting Lifting with Drill Pipe, an IP stepped into the danger zone. Standing in pinch point resulted in the worker being in the Line of Fire for Struck by moving object.",1,0.78,Line of Fire,Line of Fire,Struck by moving object,Standing in pinch point,Drill Pipe,Severe lacerations,None,tensioned line|pressure test,Medium
REP-631391E8,2022-07-12,Facility Bravo,Boiler Area,Near Miss,General Maintenance,JSA for General Maintenance near Camp Facility was printed on crumpled paper.,0,0.26,Work Authorization,Work Authorization,None,None,Camp Facility,Minor injury,None,,Low
REP-8A084869,2021-01-29,Terminal Echo,Pump Room,Unsafe Act,Trenching,"While conducting Trenching with Drill Pipe, an IP stepped into the danger zone. Standing in pinch point resulted in the worker being in the Line of Fire for Struck by moving object.",1,0.85,Line of Fire,Line of Fire,Struck by moving object,Standing in pinch point,Drill Pipe,Fatal impact,None,pinch point|tensioned line,High
REP-6EE875B6,2020-09-16,Platform Charlie,Main Workshop,Incident,Pressure Testing,Barricade tape for Pressure Testing near Excavator was blown down by the wind. No operations were ongoing.,0,0.28,Line of Fire,Line of Fire,None,None,Excavator,Minor injury,None,,Low
REP-00A8149D,2021-07-29,Refinery Delta,Deck 3,Near Miss,Structural Inspection,Worker observed performing Structural Inspection on Cherry Picker at 15 meters. It was noted that Lanyard defective. A Unstable platform could have resulted in a fatality.,1,0.77,Work at Height,Work at Height,Unstable platform,Lanyard defective,Cherry Picker,Multiple fractures,Property Damage,open hole|edge proximity,Medium
REP-ACEA5697,2021-02-13,Terminal Echo,Drilling Floor,Near Miss,Vessel Welding,"During Vessel Welding inside Reactor R-5, Rescue plan inadequate was noted. This is a critical failure leading to high risk of Heat exhaustion.",1,0.73,Confined Space,Confined Space,Heat exhaustion,Rescue plan inadequate,Reactor R-5,Fatality due to toxic gas,First Aid,poor ventilation|hazardous atmosphere,High
REP-9BD9981E,2021-01-03,Platform Charlie,Storage Tank A,Unsafe Condition,Roof Repair,"Scaffolding tubes for Crane C-1 were stored untidily, causing a minor trip hazard during Roof Repair.",0,0.02,Work at Height,Work at Height,None,None,Crane C-1,Minor injury,None,,Low
REP-91F91C59,2022-08-11,Terminal Echo,Drilling Floor,Unsafe Condition,Painting,"During Painting, worker used the correct harness but the inspection log was not filled in for Pipe Rack Level 3.",0,0.14,Work at Height,Work at Height,None,None,Pipe Rack Level 3,Minor injury,None,,Low
REP-1DE92196,2022-06-10,Platform Charlie,Drilling Floor,Unsafe Condition,System Maintenance,"Screen on Pressure Safety Valve PSV-90 was dirty, making it hard to read during System Maintenance.",0,0.17,Bypassing Safety Controls,Bypassing Safety Controls,None,None,Pressure Safety Valve PSV-90,Minor injury,None,,Low
REP-FF4C8BDE,2020-02-13,Platform Charlie,Pump Room,Unsafe Act,Contractor Work,"During a walkaround, found personnel doing Contractor Work on Process Module 4. Expired permit meant they had no controls for Simultaneous operations clash.",1,0.87,Work Authorization,Work Authorization,Simultaneous operations clash,Expired permit,Process Module 4,Serious injury due to lack of hazard awareness,Property Damage,poor communication|simops,Medium
REP-9913DB8E,2022-04-30,Station Foxtrot,Main Workshop,Near Miss,Forklift Operation,The horn on Chain Block sounded a bit quiet during Forklift Operation.,0,0.33,Safe Mechanical Lifting,Safe Mechanical Lifting,None,None,Chain Block,Minor injury,None,,Low
REP-FC554A70,2020-09-05,Platform Charlie,Deck 3,Unsafe Act,Soldering,Fire extinguisher near Welding Machine W-1 for Soldering was due for monthly inspection next week.,0,0.39,Hot Work,Hot Work|Safe Mechanical Lifting,None,None,Welding Machine W-1,Minor injury,None,,Low
REP-184D1B33,2020-03-29,Site Alpha,Pump Room,Near Miss,Inspection,"While inspecting Pump P-204, Stored energy discharge was narrowly avoided because Padlock missing.",1,0.99,Energy Isolation,Energy Isolation,Stored energy discharge,Padlock missing,Pump P-204,Fatal electrocution,First Aid,inadequate isolation|pressurized equipment,Medium
REP-BEA1B9CC,2022-07-04,Station Foxtrot,Deck 3,Unsafe Condition,Soldering,"Soldering was started on Oxy-Acetylene Torch near a live process area. Fire watcher absent was observed, posing a massive risk of Explosion.",1,0.92,Hot Work,Hot Work,Explosion,Fire watcher absent,Oxy-Acetylene Torch,Fatal burns,Property Damage,flammable atmosphere|hydrocarbon presence,High
REP-50E0D5D1,2021-05-11,Station Foxtrot,Loading Bay,Unsafe Act,Contractor Work,Worker doing Contractor Work at Utility Area did not sign the permit exactly on the line.,0,0.34,Work Authorization,Work Authorization|Safe Mechanical Lifting,None,None,Utility Area,Minor injury,None,,Low
REP-254C5050,2023-12-22,Refinery Delta,Boiler Area,Unsafe Act,General Maintenance,"Crew commenced General Maintenance at Workshop but JSA not discussed. Unaware of SIMOPS, they were exposed to Unidentified hazards.",1,0.8,Work Authorization,Work Authorization,Unidentified hazards,JSA not discussed,Workshop,Process incident,First Aid,poor communication|inadequate planning,High
REP-257DDE40,2023-03-28,Station Foxtrot,Deck 3,Unsafe Condition,Internal Inspection,The entry log for Reactor R-5 during Internal Inspection was smudged with dirt.,0,0.28,Confined Space,Confined Space,None,None,Reactor R-5,Minor injury,None,,Low
REP-27E09F6A,2023-02-01,Site Alpha,Drilling Floor,Incident,Scaffolding,"Scaffolding tubes for Crane C-1 were stored untidily, causing a minor trip hazard during Scaffolding.",0,0.11,Work at Height,Work at Height,None,None,Crane C-1,Minor injury,None,,Low
REP-BFCF7D12,2021-08-25,Facility Bravo,Storage Tank A,Unsafe Condition,Alarm Testing,"Audit of Shutdown Valve SDV-1 post-Alarm Testing revealed Interlock bridged. Without this protection, Loss of containment could have occurred.",1,0.81,Bypassing Safety Controls,Bypassing Safety Controls,Loss of containment,Interlock bridged,Shutdown Valve SDV-1,Catastrophic release,None,disabled safety device|unauthorized override,High
REP-4BB15A3B,2020-03-14,Terminal Echo,Main Workshop,Unsafe Condition,Heavy Haulage,The Light Vehicle was slightly dirty during Heavy Haulage.,0,0.03,Driving,Driving|Confined Space,None,None,Light Vehicle,Minor injury,None,,Low
REP-F2B188F1,2023-07-28,Platform Charlie,Main Workshop,Unsafe Act,Structural Inspection,Worker observed performing Structural Inspection on Crane C-1 at 15 meters. It was noted that Lanyard defective. A Open grating could have resulted in a fatality.,1,0.75,Work at Height,Work at Height,Open grating,Lanyard defective,Crane C-1,Serious head injury from dropped object,First Aid,missing fall protection|open hole,Medium
REP-667DA93B,2023-09-26,Refinery Delta,Storage Tank A,Near Miss,Heavy Haulage,"Crew Bus was involved in a near miss during Heavy Haulage. Investigation showed Seatbelt not worn, drastically increasing the risk of Rollover.",1,0.96,Driving,Driving,Rollover,Seatbelt not worn,Crew Bus,Severe whiplash,None,distracted driving|high speed,Medium
REP-35DAB43C,2023-10-24,Platform Charlie,Loading Bay,Unsafe Condition,Crane Lifting,"Crane Lifting was taking place with Forklift F-3. It was found that Outriggers not extended, which is a severe violation that could result in Dropped suspended load.",1,0.73,Safe Mechanical Lifting,Safe Mechanical Lifting,Dropped suspended load,Outriggers not extended,Forklift F-3,Structural collapse,Property Damage,dynamic loading|suspended load,Medium
REP-0D365661,2022-01-16,Refinery Delta,Pump Room,Near Miss,Scaffolding,"During Scaffolding, worker used the correct harness but the inspection log was not filled in for Pipe Rack Level 3.",0,0.2,Work at Height,Work at Height,None,None,Pipe Rack Level 3,Minor injury,None,,Low
REP-C303B390,2020-03-04,Facility Bravo,Storage Tank A,Near Miss,Soldering,Welder doing Soldering with Welding Machine W-1 had untucked coveralls.,0,0.15,Hot Work,Hot Work,None,None,Welding Machine W-1,Minor injury,None,,Low
REP-DDB172FB,2022-03-11,Terminal Echo,Storage Tank A,Near Miss,Painting,"During Painting, a 5kg wrench was dropped from Roof Access Ladder. No barricade below meant the area below was not clear. Fall from height was a near miss.",1,0.96,Work at Height,Work at Height,Fall from height,No barricade below,Roof Access Ladder,Multiple fractures,First Aid,open hole|unsecured tools,High
REP-377B0F2E,2022-10-18,Station Foxtrot,Boiler Area,Incident,Repair,"Noticed Heat Exchanger HX-2 had a minor weep during Repair. LOTO was applied correctly, but cleanup was delayed.",0,0.39,Energy Isolation,Energy Isolation,None,None,Heat Exchanger HX-2,Minor injury,None,,Low
REP-2A7D293A,2021-08-02,Terminal Echo,Deck 3,Unsafe Act,Site Patrol,Driver doing Site Patrol in Light Vehicle parked slightly outside the designated lines.,0,0.03,Driving,Driving,None,None,Light Vehicle,Minor injury,None,,Low
REP-DF410297,2020-10-19,Station Foxtrot,Loading Bay,Incident,Pipefitting,"Noticed Electrical Panel EP-5 had a minor weep during Pipefitting. LOTO was applied correctly, but cleanup was delayed.",0,0.29,Energy Isolation,Energy Isolation,None,None,Electrical Panel EP-5,Minor injury,None,,Low
REP-EF8B656F,2020-07-19,Platform Charlie,Main Workshop,Near Miss,Structural Inspection,"Scaffolding tubes for Crane C-1 were stored untidily, causing a minor trip hazard during Structural Inspection.",0,0.39,Work at Height,Work at Height,None,None,Crane C-1,Minor injury,None,,Low
REP-325EB61B,2021-01-10,Refinery Delta,Storage Tank A,Unsafe Act,Alarm Testing,Operator engaged in Alarm Testing admitted to bypassing safety logic on Fire & Gas Panel. Alarm disabled is a severe breach leading to Overpressure.,1,0.72,Bypassing Safety Controls,Bypassing Safety Controls,Overpressure,Alarm disabled,Fire & Gas Panel,Catastrophic release,Property Damage,bypassed interlock|unauthorized override,High
REP-D01684F7,2020-06-30,Facility Bravo,Main Workshop,Unsafe Condition,Non-routine Task,"During a walkaround, found personnel doing Non-routine Task on Utility Area. Wrong permit type meant they had no controls for Uncontrolled work.",1,0.83,Work Authorization,Work Authorization,Uncontrolled work,Wrong permit type,Utility Area,Process incident,First Aid,inadequate planning|poor communication,Medium
REP-DD8ACE7A,2020-04-21,Site Alpha,Pump Room,Near Miss,Grinding,Fire extinguisher near Oxy-Acetylene Torch for Grinding was due for monthly inspection next week.,0,0.19,Hot Work,Hot Work,None,None,Oxy-Acetylene Torch,Minor injury,None,,Low
